Score;Summary;Text
5;No hulls;I think the popcorn tastes great.  I reminds me when we didn't have microwaves and had to pop it on the stove.
5;Good flavor enhancer;I actually purchased these boxes of soup for the little packet of dry broth to use to make gravies and other dishes with chicken flavor. I think it is perfect.
4;Finally!;I've asked for this flavor in three local groceries..
5;Gloria Jean's Hazelnut K-Cups;Lot's of flavor, is a favorite! Will always buy. Amazon is the best to purchace from.
4;Nice and spicy pizza oil;We fell in love with the spicy pizza oil they used to serve at Buca de Beppo's but it was eventually pulled when the bean counters took over (and they removed the spicy pizza itself). This oil is very similar.
5;Ostrim Products;The best healthy snack there is. When you crave that late night meat without the guilt this is the product for you.
5;Delicious!;These are wonderful. First tried them while sampling the goods at [.
5;Chicken Jalfrezi Curry tastes amazing with this sauce!;I cooked a pound of chicken plus a half a pound of peas. That plus rice made for a delicious dinner! I paid $3.
1;OLD, NASTY....YUK!;Ordered two cases because of good reviews.  Both cases due to expire in several months.
1;Seems to have changed for the worse;I have been ordering this product for a year and for the last few months it seems quite different.  It no longer clumps well and certainly doesn't block much in terms of odor.
5;Great product;The Clear Jel arrived quickly with the packages intact. I appreciate that the product comes in one pound packages.
1;The worst tasting thing out of my Keurig;I really had high expectations of this product but the artificial flavoring just kills it.<br />My wife gets migraines and the artificial flavoring in this product has been reported to make these worse.
4;good stuff;I like Annie's products..
5;Wellness;After their first month on Wellness food, the kitties have stopped making wretching noises and vomiting completely.  And they show a strong preference for this food.
4;Organic Coffee Co. coffee review;I really enjoyed this coffee. I like the whole bean coffees best, because it tastes fresher and smoother when I grind it myself.
5;Incredible coffee;Best blend and senseo pod yet!<br /><br />Very rich and strong.  Tastes incredible.
4;Yummy in Baby's Tummy!;Our almost 7 month old is in his 4th week of eating solids and he loves Plum Organics food! So far the Pear and Mango is his favorite flavor. We have also tried other flavors and he loves them all.
4;T A S T Y......L O W....C A L O R I C .....L E S S....S A L T..........B U T....S T I L L;CAMPBELL'S HEALTHY REQUEST CREAME OF MUSHROOM (Soup) 10.75-OUNCE CANS, (PACK OF 24), contains a tasty blend of mostly-natural ingredients.
4;Delicious, although Yorkshire Gold is even better;This tea is delicious. Although not quite as good as Yorkshire Gold, it is still a very pleasant, well balanced, and flavorful tea.
5;yummy for your tummy;The New York Cheddar flavor is my favorite of all the Kettle Brand potato chips. These are flavorful and crunchy and will make your mouth happy.
5;Best chamomile we've tried;This is the chamomile tea my husband drinks every night. It has the best flavor of any of the chamomiles we've tried.
5;Awesome!;I purchased this to give my dog something to do while he is in his crate while we are away at work. Just to see if he liked it I gave it to him earlier today, he's chewed on it nonstop for hours.
1;Please research this formula carefully before using!;I used this formula for my baby from 6 weeks old to 1 year after trying to nurse unsuccessfully.  He tolerated it well and I thought this was a terrific product while using it.
5;Clear Tones!;"I have been singing ""lead"" in barbershop quartets for more than 40 years.  Phlegm is a constant problem for singers, especially the lead, who must sing with clear, strong tones for the other three to match."
1;Terrible smell, starving cat wouldn't eat it;This stuff smells bad,and looks worse. My cat will eat anything and is not finicky.
5;Mesquite BBQ;These chips are the best!! I've tried some of the other flavors and they are ok, nothing special..
5;Love these chips!;These chips are great. I love the hot and spicy seasoning.
2;cost-cutting?;I have been wanting to do a review for this chocolate for months now and finally got to it. I have always loved this chocolate to the extent my husband buys it for me whenever he sees it and I also buy my own.
5;great tea;Wonderful tea that is consistent in its great taste. Nice flavor, easy to work with the Keurig brewer.
5;Great for training;Reasonably priced, healthy & all natural, low-calorie. They're small and easy to chew, so they are great for training sessions.
5;good deal;I like the good price and taste and just the fact it is organic so when my picky child eats badly at least I know it is not all that bad ..
5;oil;This seems like a good product. We buy a lot of organic food and the price was reasonable for the olive oil.
4;Cats seem to like it;We have two cats, and they both seem to like this food. One of our cats is generally picky about her dry food, but even she'll eat this.
5;Loved these;A friend of mine brought me some of these candy bars from Austrailia..
4;Tasty, Sweet and Natural Treat.;Unlike what another reviewer said, brown rice syrup IS sugar, just an alternative to other types of sweeteners typically used in other products. Hey, I'm all on board for a natural sweetener versus the crap they put in most bars, but this isn't health food.
5;WORTH THE PRICE!!!;"Just thought I should let everyone know, these are THE BEST fish flakes on the market. My cats go bonkers when I even mention ""fish flakes"" around the house (or anything that remotely sounds like ""fish flakes""."
5;one of a KIND, delicious gluten free bar;I have never been one to rely on nor crave a bar. Following a gluten-free and low- allergy controlled diet, I stumbled across these KIND bars while looking for nutritious options for my teens, thinking I would be able to try them.
4;Always Faithful;I would have given this product a 5 star, but tge price is a bit steep. The cookies were fresh and tasted as shortbread tastes.
5;"REEEEEEEEESEEEEEE! ""Liquid Crack""";This product is LEGENDARY!  One of the best tasting peanut butter out there. If you like Reese's peanut butter cup this is the main ingredient in them.
5;Healthy Snack for dogs;great healthy option for your dog. ONe of the few snacks without artificial fillers.
5;Refreshing;I've tried several varieties and I find the orange the best.<br />The drink is not sweet, but when served very cold, it's refreshing.
5;My favorite;these are easily my favorite seeds. Easily the best.
1;Contains SPLENDA - yuck;"The product description claims ""It contains no high-fructose corn syrup in regular flavors and no aspartame in diet flavors."" This is true - instead ALL of the 12 sample flavors we got with our machine contain SPLENDA (sucralose), whether ""diet"" or not! You have to read the fine print to discover this."
2;Not enjoyable;I have used sugar-free Da Vinci syrups in coffee, protein shakes, and cheesecakes without much of a problem, but for some reason the Sugar-Free Pumpkin Pie Syrup had a horrible aftertaste. Very Splenda-y.
5;love them!;I have pretty big hands and a 50 pound dog. These bags have never ripped or torn and are the perfect size.
5;Fresh, wonderful Cinnamon smell;I purchased this cinnamon to use in holiday baking and to replace my old outdated spices. I could care less about the raging health debate on which type of cinnamon is best eaten for health reasons.
3;Container problem;I have used these little treats for our 2 dogs for a while and never had a problem.  This time the container arrived a little dented and when I opened it, discovered that the inside pouch had been damaged and the greenies are stuck together.
3;OK Tea, not bad;I picked up some of this tea at the grocery store last week. It has some grassy aftertaste that many green teas have but not as much as some brands.
4;Love 'em;I love these salt and pepper flavored Popchips.  The bag size is perfect for a snack.
5;Works great;I use three different sizes of cat food cans (kitty loves variety), and these lids fit them all. Also, if you care about that sort of thing, it's a very cute design.
5;Great buy!;I bought this coconut oil because my older sister uses it on her skin at night and she has such smooth, wrinkle-free skin. I love this stuff.
1;Absolutely, ridiculously GROSS!;I honestly had to get a second opinion on whether or not this stuff was spoiled when I opened it up, gave it to my son, and he acted like I'd put a stinging wasp in his mouth! I have never seen him hate something like this.  He spewed everything in his mouth all over the room.
5;NUT BROWN ALE ROCKED;I purchased this product for my husband who has been home brewing for a few months now. The<br />beer had a good color, smelled & tasted great.
1;Poor cocoa flavor and tastes funny;I would not recommend this cocoa to anyone.  The flavor is horrible - it is weak and then there are other flavors in it (kinda like incense).
5;Received Wasa Crispbread in great condition;My husband and I love Wasa Crispbread. I found it available at Amazon,com at a<br />much better price than in the supermarket so I bought a case of 12 packs.
3;Cat now can't stop licking, biting, scratching his own body?;I thought this food was good because my cat's picky digestive system seemed to tolerate it pretty well. This was until the puking started and the obsessive grooming.
5;Really works for hairballs!;Since we have been following the package directions that say to feed 10 treats at one time, our cat rarely throws up at all and her stools are plumper. She has always had tiny, hard stools until we started feeding her these treats.
1;Warning: Contains Menadione;According to the manufacturer's website, this (and many of their other products) contains menadione sodium bisulfite complex.<br /><br />Menadione is a synthetic precursor for Vitamin K and has been reported to have toxic effects.
5;Nothing Beats Shake 'N Bake For Flavor!;I'm a Shake 'N Bake HOUND.  I admit it.
4;Great Gift!;The gift set looks pretty nice upon arrival.  I bought as a gift for my grandmother and she loves it!  Really nice, clean scent.
4;Nice strong flavor and aroma;Chocolate, honeyed pecans and bourbon.  What's not to like?  The aroma is fantastic.
4;Is that all?;The noodles were great--both kids liked them!--and I was very happy with the price until I realized that I was going through this pasta twice as fast as the organic wheat, at twice the price.  So if you don't mind paying a lot more for quinoa, it's a great product.
5;Great Popcorn!;Great popcorn - way better than the 'normal' stuff I've been buying from the supermarket for years. The popcorn comes out sweet - just add a little salt and you're good to go.
5;Best Coffee, Ever.;This coffee will make you realize that Starbucks' coffee is total crap.  Hawaiian Kona Coffee is worth every penny, but beware that after drinking this, all other coffee will taste like ash in comparison.
5;Best kibble ever!;"This is by far the best kibble for cats available. Cats are obligate carnivores, they do not need to eat corn or rice, a major ingredient in most ""premium"" and all supermarket brands."
4;Raspberry Tea with Hibiscus--What a Combo!;****<br />Stash's Wild Raspberry Caffeine Free Herbal Tea is strong and fruity, great if you love the taste of raspberry and hibiscus, which I do. It contains hibiscus, orange peel, lemongrass, rosehips, natural raspberry flavor, licorice powder, and citric acid.
4;Good salt;The bag was smaller than I expected, but that's probably just me being bad at estimating things.  The salt seems good, however, I was a little disappointed that the photo showed the salt to be much more vibrantly colored than they actually are.
5;Very tasty bars;There are many varieties of bars on the market these days.  I like Kind Plus and tried several varieties.
5;Great Tasting Organic Candy - Oxymoron?  No!;Wow, this is a lot of lollipops!  Here's what I got:<br /><br />36 = Very Cherry<br />59 = Pomegranate Pucker<br />32 = Strawberry Smash<br />40 = Wetface Watermelon<br />40 = Blueberry Tooberry<br />48 = Sour Apple Tart<br />33 = Mango Tango<br />34 = Googly Grape<br />====================<br />322 Total Lollipops<br /><br />Shipping was free and relatively fast.<br /><br />At $30 for a 5 lb.
5;pill pockets;Work very good with a finicky, hard to please cat, but the size is abit large for my cat because he takes very small chews, cut it down and it works like a charm.  Have to make sure the bag is resealed tightly as it is a soft consistency and will  harden, and be of no use.
5;Great value;My dog LOVES these treats. They tend to have a very strong fish oil smell.
5;Drink The Spirit of Aloha!;I purchased these for my mom and she loves them!  She does not like bold coffee flavors, but is more into the sweet and more flavorful varieties.  This one combines the taste of the islands with a smooth, nutty flavor.
5;Love Larabars!;After a recommendation from my personal trainer, I tried Larabars for the first time.  She gave me a bar to try and I was hooked immediately.
5;Love it but can't get it!;My husband is a tea snob.  I found this by accident and he absolutely LOVED it.
2;RECENT TALK WITH CUSTOMER RELATIONS RE BPA LINER;"Just off the phone with them (Aug/12) and they said that yes they stopped putting BPA in the liners in Oct/11. Of course there is old stock on the shelves so I asked how to tell whether the liners we have are the ""old"" (with BPA) or the ""new"" (without BPA) and the person there said to look at the inside the surface of the lid."
5;We love them, but not for everyone;Okay, we try as hard as we can to eat as little sugar and as little white flour as we can, but it is hard, one still needs sweets and snacks, especially with kids.  These are great, 100% whole wheat, and sweetened with fruit juice instead of a more refined sugar.
3;"Just ""OK""";My wife and I really love Genmaicha tea, and we've had it from several tiny tea shops and purchased loose leave tea from those shops and the taste has always been fantastic. We have a larger tea purveyor that sells strictly Tao of Tea, and we purchased a tin to replenish our supplies.
5;The Best;"This is by far the best tea you can buy.  I am English and know a good ""cuppa"" when I find it."
5;SIMPLY THE BEST;If you love macaroon texture and you love almond flavor - these are for you.  They are by far the best cookies I have ever had in a macaroon.
5;Excellent cream for dogs, too.;Have you ever owned a dog whose skin was extra sensitive and hard to calm? Have you gone nuts trying to get your dog to stop biting himself and chewing on irritated spots? Here's an answer that has worked wonderfully for our Rottie:<br /><br />This cream is the only thing that I have used that calms my poor Rottweiler's skin. We live in the mountains, and nobody can figure out what he has, but it makes him itch so badly that he chews his fur off where there is irritation.
1;Steak sauce undercover;"This ""Hot Sauce"" takes more like a cheap steak sauce.  It was disgusting."
2;Disappointed;I took a chance on this based on the overwhelmingly positive reviews that I read.  The package arrived within three days of ordering, and the coffee was sealed in a standard vacuum-sealed bag.
5;Great Flavor;This flavor of Jello is rarely available in the grocery stores in our area.  I use it frequently in a variety of recipes.
4;Great value;My wife and I eat anchovies by the pound. No, not on pizzas or in salads only.
5;My dog loves it!;I have a Weimaraner puppy that I got at 8 months old he was a little underweight and I was having trouble keeping him from losing weight because he can be nervous in new situations. Since he lived in the counrt and moved to the city everything was new.
1;Where's that wonderful aroma?;I did my research before deciding to spend $30+ on a bottle of vanilla, granted a very large one. After reading all the comments, I expected the pleasant aroma of vanilla wafting from the bottle upon opening, but what I got instead was this murky, smokey smell that doesn't even remotely resemble vanilla.
3;These are ok but not excellent;The skins are tough.  It ruins the flavor.
5;Tasty Malt Candy;If you love the flavor of malted barley, i.e.
1;Strong Bitter Aftertaste;"I bought this Culinary grade Matcha powder based on many good reviews but was very disappointed! I like to bake green tea cookies and cakes but unfortunately the bitter after taste just makes my baked goods very unpalatable (using 1-3 tsp per batch). I previously used a store bought Matcha from Japan which cost twice as much and was not specified ""culinary grade"" and compared the two."
2;gross;Would not purchase again.  Very artificial vanilla taste.
5;Great product, highly reccomended!;I have been drinking Orgain pretty much since it was released on the market a couple of years ago and have really enjoyed it. Its a great alternative to all the other nutritional/protein shakes out there since it is all organic.
2;This is not premium quality tea;I agree with the other reviewers.  Stash has some great teas, but this is not one of them.
5;Even non tea drinkers will love this tea;Bentley's Mango White Tea is the best tea I have ever had. I drink alot of tea and someone at work brought this in and I tried it.
4;Creamy and fast to make in a pinch;I like instant coffee during the winter months to curl up with while watching TV and when I am home alone and don't want to brew a whole pot.  This coffee is sweet, spicy and fragrant with cinnamon notes and the taste of pumpkin it is a taste of indulgence.
5;My wife, organic green tea lover...loves this tea!;My wife only drinks organic decaf green tea.  I bought this as a surprise and she loves it.
5;Cats love it;After one of my cats experienced some tummy problems, I decided to look for some grain free options.  My cats love this stuff.
5;Feldkamp Pumpernickel Bread;This is the best pumpernickel bread around. I first purchased a single loaf in a specialty store.
5;Texture and the taste are totally different from the pressed oats!;I have been having Quaker Oatmeal for yesrs until trying this today! The texture and the taste are completely different from the pressed oat. It worths cooking for half hour.
5;Mouth Watering & Addictive;These bars are the best health bars I've ever eaten.  They are are moist and sweet.
5;We enjoy this tea every morning.;I have been purchasing this tea for years.  We drink it every morning instead of coffee, and love it.
4;Love peanut butter but hate the fat;Although it doesn't compare to Jif, which is my favorite PB, it is very good. I do miss the salt though, so I add just a pinch.
1;Gooey tea!;When I received this tea, it was all clumped together from moisture.  I had to try to break it apart and I didn't succeed.
4;Dark, rich, coffee taste;I love drinking illy coffee and it's great that they offer it in can form. For me, it's too dark and bitter, but it is still a great and bold flavor for those who prefer it.
5;DisposaKup Lids;The cup lids are just just great. So much easier to refill and reuse the cups.
5;Good price on organic sugar;Organic sugar is hard to find and usually comes in small packages.  While this does indeed come in 12 bags of 1.
4;Best among the decaf's;I have been favorably impressed with all of the Barry's Tea line. For a decaffeinated tea, this one is indeed very good.
2;NASTY!!;I will never understand why they put Splenda into non-diet drinks but I can tell you that it was a horrible idea. So diet is undrinkable and so is regular.
5;Don't buy it used;"Its a great product, and our dog loves them.  But I see that Amazon lists some sellers of ""used and new""."
5;OMG I love these chips;The Glories Kettle Sweet Potato Chips (12-pack/5 oz each) arrived in a timely manner and in excellent condition.  I was pleasantly surprised at how good these chips taste.
1;Still not working;I received this product three months ago.  The first seeds started to grow then died within a few weeks.
5;Love this coffee maker!;My husband bought this for us for an early Christmas. We have been using it for about a month and we love it.
1;Beware of this product!;It is impossible to find an ingredient list!<br /><br />On the internet the ingredients start with whole milk powder and vanilla, and nothing else.<br /><br />What about sugar and cocoa butter?<br /><br />If you call Ghirardelli, they will tell you, they don't have an ingredient list!<br /><br />Unfortunately, Trader Joes only carries white chocolate chips around Christmas.
5;Actual Coconut!;I have to admit I'm floored by this product.  I'm originally from the West Indies so needless to say I love coconut.
5;Best pancakes ever!;This makes the best pancakes ever. The muffins and other items are good too with this all-purpose mix.
4;Wacky and original;Beetlejuice is Tim Burton's 2nd film after Pee Wee's Big Adventure and it's his most popular next to Batman. A lot of films such as Monkey Bone have tried to copy it's strange originality and have failed.
5;Love these chips!;We bought these chips at a little sandwich shop in Sonoma while we were on vacation. I wasn't sure what to expect by the package, and at first bite I didn't know what to think.
5;A cello in comparison to the violin of orange blossom honey;Manuka has a strong, deep, rich flavor, suggesting essences of fig, tannin, and molasses. This is honey to be savored.
5;Awesome;These are delicious treats for people of all ages. I got $100 for eating these and they were surprisingly delicious.
1;100% Crushed Fruit?;"This is not ""100% crushed fruit"". Nor is it ""pureed fruit"", as the Dr."
5;Incredible flavor, perfect on crusty baguette;This cheese is amazing. I tend to just buy it at Whole Foods, but it's good to know you can get it in more than one place.
5;My cats love it!!!;My fussy cats love this food and from what I've read, it's good for them, too.  Finally, we both win.
3;vanilla disflavored;The packaging is great for a gift.  The teabags are pyramidal in shape.
5;Love these Sticks;When Costco stopped carrying these I was elated to find them at Amazon. They're great and are low calorie too boot.
3;do not buy it online;I have used this brand before. it was much better than those I got from amazon.
5;Luzianne green tea for iced tea;This is excellent green tea and I am grateful I could find it on Amazon as none of the grocery stores around here carry it, nor does Walmart. It make a superior iced green tea for those of us that prefer green tea.
3;Not good...;I decided to try this food with my 13 years old dog. He didn't like the taste, I had to combine it with something else for him to eat it.
2;Taste terrible, way too strong;Unless you like salt vinegar chips as salty as eating actual pinches of salt and drinking actual vinegar, i doubt you will like these chips.  These are the saltiest & sourest chips I have ever had, and the only reason stops me from throwing these away is because I paid for 2 full boxes and dont like to waste food.
4;Good Product;These snack bars are so tasty. The only downside is how small they are but what can you expect for only 100 calories.
4;Basically a laxative...;I never drink this tea alone. I always steep it with another tea, such as Oolong or Jasmine because the taste isn't the best.
5;Yummy!!;My husband has never drank coffee and now he wants this all of the time. Really great flavor!! Taste just like a chocolate glazed donut.
5;My Jack Russel LOVES these!;My 13 year old Jack Russell who is still full of life, has decreased kidney function. I was in search of treats with out crude protein.
3;Sue;I love the idea of this product but with larger pills the beef pill pockets are much easier to mold around the pill than the chicken. Although my dogs love both flavors my boxer can easily eat the pill pocket and spit out the pill with the chicken flavor but does not do that with the beef flavor again because it is easier to bury the entire pill in the pocket using the beef.
4;50 bucks for licorice?!;I ate six of these right off the bat. Delicious but not overly sweet, with only a hint of pomegranate that tastes more like conventional cherry licorice.
5;Great gift;I bought one of these for myself and one for a gift.  It is elegant and practical.
5;Really works for hairballs!;Since we have been following the package directions that say to feed 10 treats at one time, our cat rarely throws up at all and her stools are plumper. She has always had tiny, hard stools until we started feeding her these treats.
1;Pork gelatin!!!!!;I have just found out today that the gelatin in this product is coming from pork. I do not know why they would add gelatin in the first place.
5;Baby loves this food!;This food is not as smooth as some of the others and is a mixture of 4 foods, so I didn't start feeding it to my baby until he was 6-7 months old.  He's 9 months old now and still loves it, and I think it's better now that it isn't as smooth.
5;It's like a real pet, only dead!;When my son reached the age of having pets, we thought long and hard about what to get him. sure, we had taught him that pets meant cleaning, feeding, looking after.
4;Pretty good Coffee;I'm a guy who likes coffee..
2;Not very good;It tastes kind of fake, like fake sugar, fake cream and is too sweet, the vanilla flavor isn't that great either. I won't be buying these again.
5;Excellent!;I love these bars.  They are lighter and crisper than the nature valley brand.
2;Peach Tea;"We found very little peach flavor in this ""peach tea"".  It is a poor substitute for Twinings."
2;Very Light;"I decided to try a box because Costco carries this and they haven't had my favorite Tully's Kona for a while. It lives up to the ""light roast"" description and brews one of the lightest (you might also say 'weakest') cups of coffee I've had in any K-cup."
2;Reimbursment Pending;I only received one package instead of ten:  there are ten 'packages' of six cookies in each box but that equates to $1.05 per ounce, not $.
5;Finest Around In My Opinion;My husband and I are always searching for better coffee..
4;Prtein Chips;As endorsed by Dr. Oz, these chips do satisfy and are quite tasty.
3;Bought at my local supermarket;I found this in the organic aisle at my local supermarket.  $[.
5;Good Seed;I used the seeds for a Biology project where I had to grow a plant and test the effect of pH on growth rate, but I am a terrible with plants!! I can not grow anything or keep what plants i buy alive!  I am the opposite of a green thumb, a black thumb if you will.  These seeds came within three days of ordering them and in great condition.
5;PET FOOD RECALL WORRIES?  NO PROBLEM WITH NEWMAN'S!;Upon the initial pet food recall news, I immediately began my investigation into the healthiest food choices for my pets.  Although I am already diligent as a pet parent of eight, and none of the foods we use were recalled, I still felt I wanted to go even MORE natural.
5;Great salt;This pink salt has a very nice subtle flavor. I didn't know salt could vary in flavor until I tried this one.
5;Great product great price;Again you cannot beat having this delivered to the house direct. This is a fantastic product to have on hand for spaghetti sauce or soups or just to drink.
5;Culinary secret;Someone recently gave me a small grinder containing pink Himalayan rock salt crystals.  The difference in the taste it added to food prompted me to do some reading on the differences.
2;Sweeter than I'm used to;I love chocolate, and indulge in it regularly. When I buy bar chocolate, I always buy dark.
2;Buyers Beware...;For those of you out there that are new to gluten free foods..
2;too much salt and presumably some preservatives;Too much salt, and I think they add some preservatives.<br />It is not the worst product ever but I don't like it.
5;Well Worth it!;I first tried this tea at a Mercedes Benz dealership and I was hooked.  I have tried many different types of herbal teas in the past and Mighty Leaf tea is one of the best tasting teas (in my opinion -very flavorful).
5;LOVE IT !!!;We got one of these at a winery and took it to a group function and it was a major hit ! I didn't want to share with anyone, ha ha. Needless to say we had to go back to the winery and get another one.
5;Excellent;I prefer using dried beans as opposed to canned for various reasons. These chickpeas are an excellent product
3;Good and tasy product - but price is lot  higher now.;My 2 stars are not for the product as such.  The hot dogs are very good and offer an excellent alternative.
5;These contain a fair amount of SOY...if you have a sensitivity...;Popchips Original Potato Chips are dee-lish.  But BEWARE of the SOY in them if you have a soy sensitivity, like I do.
5;Fragrant Chamomile flower herbal tea;
4;Very good but the original flavor is much better.;another wonderful product by Vita.  Nice and fresh w/tropical flavor.
5;Best gravy mix ever.;I use this gravy mix for everything. I don't even bother to make gravy from scratch any more.
1;faulty packaging and unresponsive customer service;I ordered this product because it was organic and easy when out and about with my baby.  However, we I received my order, one of the pouches I noticed had been punctured and was moldy.
5;A very fine Tea;This tea was very good. I was Very happy I got it.
5;Fresh and Gone!;They were fresh when they arrived. I purchased this 6-pack for $7.
5;Heaven in a cup;Ordered this coffee only because the flavor enticed me - Chocolate Caramel Brownie.  I've had other chocolate flavored coffee before but this one I found<br />to be exceptionally good.
5;My dog loves it.;I have a Papillon and he loves this stuff. He's very energetic and happy and has had no health issues so far while on this food.
5;Best Dog Treats Ever - No dental problems;I have been using checkups for about 3 years. First with my two large dogs ( 55 and 65lbs).
3;The gift for tea drinkers;This makes a nice gift for a dedicated tea drinker and Stash Tea has tea flowers. Not worth more than the $18.
5;Quality Vanilla;This extract tastes excellent and a little goes a long way. I've been using it for about a year now.
5;The Best Popcorn Salt;I am so picky when it comes to my popcorn and this salt is the best I have ever had. It tastes like movie theater popcorn salt and is all I now use.
5;Jelly Babies by Bassetts;The Fourth Doctors favorite snack which I have not been able to get here in the US in a long time. They are simply wonderful, I have purchased these time and time again and see no reason to stop now.
1;Gas anyone?;Delicious cereal but the intense intestinal gas and cramping I will not be buying this one anymore. I am actually in a slight amount of pain.
5;Flavorful Seasoning;Seasoning is very tasty and filling. Will use it again.
5;Delicious, great for the morning;I purchased these K-Cups for myself at our office based on the low price per cup. I didn't have very high expectations as these are roughly half the cost of most K-Cups.
5;Great for Marathon Training;I'm training for my first marathon in November 2011 and these chews have kept me going during my long 18 to 20 mile training runs.  I dissolve them in water rather than carry them as chews and sip steadily after mile 8.
5;Excellent;This product is excellent!  Great tasting popcorn, perfect amount of butter and salt.  Will purchasd this again when i run out.
5;Ferrets favorite treats;All my Ferrets have to do is hear the bag being opened and they are up and ready to receive their treats. This is their favorite treat of all time! That is why we bought a case.
5;Yummy;These taste great. While here on amazon these are listed for a lower price than the strawberry ones they still are higher than when I go to the local store.
5;This stuff works;I'm an ER doctor and work long hours - sometimes day shifts and sometimes night shifts. I've always struggled with finding something healthy I could take to stay awake.
4;Herbalife Lift Off;I found this works best if you take it first thing in the morning before eating or having coffee.<br />In about an hour you feel an energy surge that lasts about 4 hours.
1;This crap made my puppy sick, don't buy!!!!;I recently purchased this food for my 5 month old black lab mix. When I first adopted him several months ago, I started him on Wellness puppy food.
5;Amazing!;Woah..
1;50.99?!?!?!?;I wouldn't pay $50.99 for 12 of these if my mother was on fire and had to douse out the flames, that is a ridiculous price.
5;These things are GREAT!;These are the best things Werther's has ever done!  However, I should warn you that they are addictive.  If you like chewy candies and butterscotch - you will be pleased.
2;Poor Packaging;I purchased packs of 12 o four different flavors of these breadsticks. I was very disappointed when I received them.
4;Not as good as the Beef (no msg);Have tried the Chicken flavored one of this brand--YUCK!! This one isn't as good as the beef, but it's not too bad for the price. Bases are way overpriced for the most part, and since I also like to use it as  bouillon, this one is OK.
5;Excellent product!;Much cheaper than in stores, and fast shipping. I love Bob's Red Mill products.
5;Roland Quinoa, Prewashed;I like prewashed quinoa the best because there is no waste from draining those tiny little seeds and there is no trace of bitterness.  So convenient!  I am a vegan and Roland prewashed quinoa gives me the required daily amount of protein.
5;Great bulb - great price;I bought these bulbs because the price was the best I could find - even at home depot. They arrived on time and all of the bulbs are working great.
1;Worst meat snack I ever tried;They taste more like chemicals than meat.  I like a lot of jerky and meat sticks, but would not eat these.
1;Terrible;This was the worst loose tea I have ever had.  I love Stash teabags, English breakfast, but this is bitter and not smooth.
5;I would use again.;The product was as described, arrived fast and I definitely would recommend it. I had no problems  and it was packaged with care.
5;dog treats;There isn't much my puppy won't do or try to do for one of<br />the freeze dried liver treats. Gave one to another Springer Spaniel<br />we met at the beach and now when I see him he races, sometimes<br />a long distance, to great me and get another treat.
5;Beef bons;dogs thought these were quite a treat. and having to very large dogs I was pleased by how long they lasted.
3;Good but......;Good  but they only sent 19 k-cups in the box.  The mix was supposed to be at least 8 different ciders and 8 different cocoas.
2;Better off making your own blend.;I really wanted to like this one-stop-shop for my morning run out the door. However, the taste is getting in the way.
5;Best Fat Free Hot Cocoa Mix ever!!;Was able to purchase this item in grocery stores in Oklahoma City.  Not so after I moved to Cape Coral.
4;Greg's Big TAZO Story;"I discovered Tazo Earl Grey by finding some ""cases"" of it for sale in a store up in Washington state. $9 for a case of 6 boxes: good deal."
4;Gas station cappuccino;This is not your Starbucks cappuccino, but your gas station cappuccino.  Tastes just like what comes out of the machine at the gas station- if you like those, you'll love these K-Cups.
